date, pm25, pm10, o3, no2, so2, co
2023/2/4, 33, 10, , 15, , 4
2023/2/5, 25, 10, , 15, , 5
2023/2/6, 28, 16, , 28, , 7
2023/2/7, 49, 18, , 30, , 7
2023/2/8, 56, 18, , 30, , 6
2023/2/9, 48, 22, , 32, , 6
2023/2/10, 58, 21, , 29, , 6
2023/2/11, 52, 15, , 25, , 6
2023/2/12, 45, 10, , 16, , 5
2023/2/13, 29, 12, , 25, , 7
2023/2/14, 39, , , , , 
2023/1/3, 35, 11, , 17, , 6
2023/1/4, 29, 11, , 22, , 7
2023/1/5, 30, 10, , 32, , 8
2023/1/6, 29, 14, , 23, , 7
2023/1/7, 34, 19, , 16, , 5
2023/1/8, 37, 11, , 13, , 4
2023/1/9, 28, 13, , 18, , 6
2023/1/10, 37, 15, , 21, , 7
2023/1/11, 43, 20, , 23, , 8
2023/1/12, 57, 17, , 29, , 8
2023/1/13, 44, 18, , 21, , 7
2023/1/14, 50, 10, , 17, , 6
2023/1/15, 27, 10, , 15, , 5
2023/1/16, 31, 33, , 28, , 8
2023/1/17, 48, 25, , 36, , 8
2023/1/18, 66, 25, , 29, , 7
2023/1/19, 63, 24, , 32, , 8
2023/1/20, 63, 15, , 22, , 6
2023/1/21, 43, 15, , 25, , 7
2023/1/22, 47, 16, , 17, , 7
2023/1/23, 44, 18, , 29, , 8
2023/1/24, 47, 20, , 30, , 8
2023/1/25, 56, 17, , 31, , 7
2023/1/26, 50, 16, , 28, 1, 6
2023/1/27, 39, 22, , 33, , 7
2023/1/28, 58, 21, , 22, , 7
2023/1/29, 56, 12, , 17, , 7
2023/1/30, 39, 12, , 19, , 6
2023/1/31, 32, , , , , 
2022/10/2, 58, 12, , 23, , 8
2022/10/3, 39, 16, , 30, , 8
2022/10/4, 46, 18, , 32, 1, 10
2022/10/5, 53, 24, , 38, 1, 7
2022/10/6, 62, 30, , 25, , 6
2022/10/7, 54, 16, , 27, , 7
2022/10/8, 35, 30, , 33, , 7
2022/10/9, 70, 23, , 27, , 8
2022/10/10, 59, 20, , 35, , 9
2022/10/11, 58, 35, , 34, , 9
2022/10/12, 79, 16, , 25, , 7
2022/10/13, 46, 23, , 34, , 7
2022/10/14, 58, 24, , 39, 1, 9
2022/10/15, 57, 16, , 30, , 7
2022/10/16, 42, 17, , 21, , 6
2022/10/17, 46, 22, , 30, , 10
2022/10/18, 54, 17, , 28, , 9
2022/10/19, 46, 20, , 25, , 8
2022/10/20, 45, 26, , 37, , 9
2022/10/21, 65, 20, , 30, , 8
2022/10/22, 49, 18, , 31, , 8
2022/10/23, 46, 14, , 22, 1, 6
2022/10/24, 39, 19, , 30, 1, 8
2022/10/25, 47, 18, , 33, 1, 7
2022/10/26, 46, 27, , 36, 1, 8
2022/10/27, 53, 33, , 33, , 9
2022/10/28, 62, 34, , 42, 1, 9
2022/10/29, 73, 23, , 29, , 8
2022/10/30, 56, 13, , 14, , 6
2022/10/31, 32, 14, , 28, , 8
2022/11/1, 36, 7, , 23, , 7
2022/11/2, 20, 8, , 20, , 6
2022/11/3, 20, 15, , 24, 1, 7
2022/11/4, 33, 15, , 29, 1, 7
2022/11/5, 38, 13, , 25, 1, 7
2022/11/6, 33, 11, , 22, 1, 6
2022/11/7, 27, 14, , 28, 1, 7
2022/11/8, 36, 19, , 31, 1, 
2022/11/9, 43, 27, , 31, 1, 
2022/11/10, 56, 30, , 37, 1, 
2022/11/11, 63, 22, , 31, 1, 10
2022/11/12, 52, 17, , 27, , 6
2022/11/13, 45, 16, , 18, , 5
2022/11/14, 49, 18, , 26, , 6
2022/11/15, 46, 20, , 32, 1, 7
2022/11/16, 45, 21, , 38, 1, 6
2022/11/17, 49, 22, , 37, 1, 6
2022/11/18, 48, 23, , 31, 1, 6
2022/11/19, 49, 23, , 24, 1, 5
2022/11/20, 40, 21, , 22, , 6
2022/11/21, 51, 27, , 34, 1, 7
2022/11/22, 62, 25, , 29, , 7
2022/11/23, 52, 23, , 34, , 8
2022/11/24, 54, 15, , 35, , 7
2022/11/25, 42, 17, , 33, , 8
2022/11/26, 36, 16, , 33, 1, 7
2022/11/27, 41, 16, , 22, , 6
2022/11/28, 38, 13, , 29, , 8
2022/11/29, 39, 18, , 21, , 8
2022/11/30, 50, 17, , , , 8
2022/12/1, 41, 15, , , , 6
2022/12/2, 35, 22, , , , 8
2022/12/3, 53, 15, , , , 8
2022/12/4, 43, 10, , , , 6
2022/12/5, 28, 11, , 19, , 6
2022/12/6, 28, 14, , 21, , 7
2022/12/7, 35, 16, , 29, , 8
2022/12/8, 42, 22, , 36, , 8
2022/12/9, 53, 34, , 44, 1, 12
2022/12/10, 79, 27, , 35, , 8
2022/12/11, 64, 28, , 29, 1, 7
2022/12/12, 69, 19, , 26, , 7
2022/12/13, 52, 15, , 28, , 7
2022/12/14, 40, 24, , 26, 1, 6
2022/12/15, 45, 25, , 33, , 6
2022/12/16, 51, 23, , 31, , 8
2022/12/17, 54, 22, , 30, , 7
2022/12/18, 51, 13, , 15, , 5
2022/12/19, 34, 17, , 21, , 7
2022/12/20, 41, 13, , 20, , 6
