date, pm25, pm10, o3, no2, so2, co
2023/2/2, 20, , , , , 
2023/2/4, 27, , 23, 4, , 1
2023/2/5, 22, , 26, 4, , 1
2023/2/6, 28, , 22, 10, , 1
2023/2/7, 33, , 31, 11, , 2
2023/2/8, 45, , 42, 8, , 1
2023/2/9, 36, , 61, 11, , 1
2023/2/10, 48, , 43, 9, , 1
2023/2/11, 46, , 22, 11, , 2
2023/2/12, 38, , 27, 6, , 1
2023/2/13, 26, , 34, 9, , 1
2023/2/14, 22, , , , , 
2023/1/3, 35, , 24, 5, , 1
2023/1/4, 23, , 17, 6, , 1
2023/1/5, 22, , 21, 7, , 1
2023/1/6, 14, , 19, 5, , 1
2023/1/7, 20, , 14, 4, , 1
2023/1/8, 28, , 17, 3, , 1
2023/1/9, 26, , 12, 6, , 1
2023/1/10, 25, , 11, 10, , 2
2023/1/11, 30, , 20, 10, , 3
2023/1/12, 43, , 22, 9, , 1
2023/1/13, 28, , 22, 8, , 1
2023/1/14, 35, , 22, 6, , 1
2023/1/15, 23, , 27, 6, , 1
2023/1/16, 28, , 41, 9, , 2
2023/1/17, 36, , 46, 7, , 1
2023/1/18, 52, , 44, 8, , 1
2023/1/19, 50, , 41, 8, , 1
2023/1/20, 53, , 20, 11, , 2
2023/1/21, 38, , 36, 8, , 2
2023/1/22, 37, , 29, 6, , 2
2023/1/23, 42, , 24, 12, , 2
2023/1/24, 46, , 38, 9, , 1
2023/1/25, 41, , 41, 5, , 1
2023/1/26, 38, , 43, 6, , 1
2023/1/27, 30, , 50, 8, , 1
2023/1/28, 48, , 35, 9, , 2
2023/1/29, 47, , 27, 8, , 2
2023/1/30, 35, , 29, 8, , 1
2023/1/31, 25, , 8, 17, , 
2023/2/1, 46, , 32, 8, , 1
2022/10/2, 51, , 30, 5, , 2
2022/10/3, 38, , 28, 6, , 1
2022/10/4, 38, , 21, 6, , 1
2022/10/5, 40, , 53, , , 1
2022/10/6, 62, , 39, , , 1
2022/10/7, 46, , 32, , , 1
2022/10/8, 27, , 48, , , 3
2022/10/9, 66, , 44, 7, , 3
2022/10/10, 60, , 23, 9, , 3
2022/10/11, 46, , 31, 14, , 5
2022/10/12, 81, , 38, , , 2
2022/10/13, 43, , 42, , , 1
2022/10/14, 59, , 29, , , 2
2022/10/15, 46, , 23, 4, , 1
2022/10/16, 32, , 34, , , 1
2022/10/17, 42, , 27, , , 3
2022/10/18, 43, , 16, 15, , 1
2022/10/19, 35, , 24, 16, , 2
2022/10/20, 44, , 51, , , 2
2022/10/21, 62, , 37, 9, , 1
2022/10/22, 31, , 34, 5, , 1
2022/10/25, 62, , 39, 5, , 1
2022/10/26, 44, , 52, 7, , 1
2022/10/27, 47, , 47, , , 2
2022/10/28, 56, , 52, , , 2
2022/10/29, 49, , 51, , , 2
2022/10/30, 33, , 22, , , 1
2022/10/31, 21, , 23, , , 2
2022/11/1, 19, , 22, , , 1
2022/11/2, 10, , 17, , , 1
2022/11/3, 11, , 15, , , 1
2022/11/4, 15, , 24, , , 1
2022/11/5, 15, , 27, , , 1
2022/11/6, 15, , 16, , , 1
2022/11/7, 16, , 20, , , 1
2022/11/8, 17, , 35, 9, , 2
2022/11/9, 19, , 36, 11, , 1
2022/11/10, 22, , 72, 10, , 3
2022/11/11, 43, , 34, 10, , 1
2022/11/12, 40, , 31, 7, , 1
2022/11/13, 31, , 43, 5, , 1
2022/11/14, 39, , 32, 12, , 2
2022/11/15, 34, , 38, 9, , 1
2022/11/16, 42, , 33, 7, , 1
2022/11/17, 35, , 39, 7, , 1
2022/11/18, 32, , 30, 6, , 1
2022/11/19, 32, , 35, 5, , 1
2022/11/20, 33, , 40, 6, , 1
2022/11/21, 44, , 50, 10, , 1
2022/11/22, 51, , 39, 13, , 2
2022/11/23, 46, , 42, 12, , 2
2022/11/24, 45, , 36, 7, , 1
2022/11/25, 25, , 23, 7, , 1
2022/11/26, 23, , 35, 7, , 1
2022/11/27, 25, , 31, 7, , 1
2022/11/28, 31, , 30, 10, , 1
2022/11/29, 25, , 29, 11, , 1
2022/11/30, 31, , 23, 14, , 2
2022/12/1, 34, , 36, 10, , 1
2022/12/2, 27, , 41, 10, , 2
2022/12/3, 45, , 25, 12, , 2
2022/12/4, 35, , 19, 7, , 1
2022/12/5, 24, , 11, 9, , 1
2022/12/6, 21, , 11, 10, , 2
2022/12/7, 24, , 19, 12, , 1
2022/12/8, 24, , 44, 12, , 2
2022/12/9, 37, , 50, 18, , 5
2022/12/10, 64, , 52, 15, , 2
2022/12/11, 54, , 45, 11, , 2
2022/12/12, 67, , 26, 13, , 2
2022/12/13, 46, , 21, 9, , 1
2022/12/14, 22, , 27, 6, , 1
2022/12/15, 32, , 50, 8, , 1
2022/12/16, 39, , 30, 13, , 1
2022/12/17, 43, , 32, 7, , 1
2022/12/18, 33, , 24, 3, , 1
2022/12/19, 26, , 17, 7, , 1
2022/12/20, 30, , 14, 9, , 1
2022/12/21, 27, , 18, 6, , 1
2022/12/22, 14, , 15, 6, , 1
2022/12/23, 16, , 25, 6, , 1
2022/12/24, 29, , 35, 5, , 1
2022/12/25, 34, , 34, 4, , 1
2022/12/26, 46, , 17, 9, , 1
2022/12/27, 28, , 18, 10, , 2
2022/12/28, 34, , 20, 8, , 1
2022/12/29, 29, , 24, 7, , 1
2022/12/30, 28, , 28, 6, , 1
2022/12/31, 26, , 40, 6, , 1
2023/1/1, 43, , 42, 5, , 2
