date, pm25, pm10, o3, no2, so2, co
2023/2/4, 37, 12, 27, 11, , 
2023/2/5, 29, 18, 21, 12, 1, 
2023/2/6, 36, 29, 16, 22, 1, 
2023/2/7, 54, 22, 24, 13, 2, 
2023/2/8, 39, 20, 23, 14, 2, 
2023/2/9, 40, 27, 23, 13, 4, 
2023/2/10, 48, 27, 23, 15, 2, 
2023/2/11, 46, 21, 16, 20, 2, 
2023/2/12, 47, 27, 36, 16, , 
2023/2/13, 52, 27, , 20, , 
2023/2/14, 59, , , , , 
2023/1/3, 49, 25, 26, 14, 1, 
2023/1/4, 42, 13, 23, 5, , 
2023/1/5, 32, 5, 23, 6, , 
2023/1/6, 21, 14, 10, 18, 1, 
2023/1/7, 32, , , , , 
2023/1/11, 36, 18, 18, 13, , 
2023/1/12, 51, 16, 36, 14, , 
2023/1/13, 39, 19, 29, 14, , 
2023/1/14, 41, 10, 32, 10, , 
2023/1/15, 26, 22, 31, 13, 1, 
2023/1/16, 41, 19, 23, 9, 1, 
2023/1/17, 46, 19, 21, 7, 1, 
2023/1/18, 40, 17, 18, 6, , 
2023/1/19, 39, 18, 21, 9, 2, 
2023/1/20, 40, 25, 18, 17, 2, 
2023/1/21, 52, 17, 33, 9, 1, 
2023/1/22, 37, 26, 43, 16, 1, 
2023/1/23, 53, 17, 20, 15, 2, 
2023/1/24, 43, 12, 24, 6, 1, 
2023/1/25, 30, 16, 24, 9, 1, 
2023/1/26, 36, 16, 25, 7, 1, 
2023/1/27, 27, 21, 16, 10, 5, 
2023/1/28, 34, 25, 21, 12, 2, 
2023/1/29, 40, 22, 38, 14, 1, 
2023/1/30, 49, 21, 18, 11, 1, 
2023/1/31, 34, , , , , 
2022/10/2, 38, 11, 16, 7, , 
2022/10/3, 44, 15, 13, 14, , 
2022/10/4, 36, 7, 15, 15, , 
2022/10/5, 17, 13, 23, 12, , 
2022/10/6, 33, 23, 19, 11, , 
2022/10/7, 34, 16, 25, 12, , 
2022/10/8, 37, 27, 21, 12, , 
2022/10/9, 40, 35, 20, 21, , 
2022/10/10, 61, 20, 16, 16, , 
2022/10/11, 39, 16, 20, 7, , 
2022/10/12, 29, 13, 23, 11, , 
2022/10/13, 36, 27, , 10, , 
2022/10/14, 46, 21, 30, 10, , 
2022/10/15, 40, 18, 26, 4, , 
2022/10/16, 26, 18, 22, 5, , 
2022/10/17, 34, 19, 16, 4, 3, 
2022/10/18, 34, 12, 13, 8, , 
2022/10/19, 28, 19, 17, 14, , 
2022/10/20, 44, 27, 27, 15, 4, 
2022/10/21, 49, 25, 30, 22, 1, 
2022/10/22, 48, 13, 31, 3, , 
2022/10/23, 34, 17, 18, 11, 1, 
2022/10/24, 32, 18, 21, 9, 3, 
2022/10/25, 31, 13, 20, 9, , 
2022/10/26, 23, 24, 22, 12, 2, 
2022/10/27, 35, 35, 30, 13, 2, 
2022/10/28, 50, 21, 33, 11, , 
2022/10/29, 45, 26, 33, 12, 1, 
2022/10/30, 51, 18, 41, 18, 1, 
2022/10/31, 35, 16, 28, 10, 1, 
2022/11/1, 33, 7, 23, 2, , 
2022/11/2, 19, 6, 16, 3, , 
2022/11/3, 19, 11, 16, 9, 1, 
2022/11/4, 24, 17, 17, 10, 3, 
2022/11/5, 44, 8, 17, 8, 1, 
2022/11/6, 24, 10, 14, 10, 1, 
2022/11/7, 28, 17, 16, 10, 2, 
2022/11/8, 32, 15, 18, 10, 3, 
2022/11/9, 34, 22, 22, 12, 3, 
2022/11/10, 37, 23, 27, 15, 4, 
2022/11/11, 46, 21, 23, 13, 2, 
2022/11/12, 37, 13, 27, 10, , 
2022/11/13, 36, 14, 24, 13, 1, 
2022/11/14, 33, 19, 21, 14, , 
2022/11/15, 41, 29, 30, 14, 1, 
2022/11/16, 55, 25, 24, 15, 5, 
2022/11/17, 42, 20, 24, 14, 3, 
2022/11/18, 43, 10, 18, 4, , 
2022/11/19, 19, 18, 22, 7, , 
2022/11/20, 29, 17, 20, 7, 1, 
2022/11/21, 31, 24, 26, 13, 3, 
2022/11/22, 47, 27, 24, 15, 2, 
2022/11/23, 47, 23, 37, 14, , 
2022/11/24, 50, 11, 25, 7, 1, 
2022/11/25, 25, 12, 21, 9, , 
2022/11/26, 28, 12, 3, 6, 1, 
2022/11/27, 33, 19, 19, 8, 2, 
2022/11/28, 34, 16, 18, 10, , 
2022/11/29, 30, 9, 12, 12, , 
2022/11/30, 24, 23, 20, 14, 1, 
2022/12/1, 44, 26, 19, 16, 1, 
2022/12/2, 48, 30, 30, 11, , 
2022/12/3, 51, 29, 27, 14, 1, 
2022/12/4, 53, 26, 22, 13, 1, 
2022/12/5, 52, 21, 11, 11, , 
2022/12/6, 41, 19, 16, 14, , 
2022/12/7, 33, 12, 13, 11, , 
2022/12/8, 31, 15, 18, 8, 1, 
2022/12/9, 35, 22, 29, 11, 2, 
2022/12/10, 46, 21, 3, 10, 3, 
2022/12/11, 44, 25, , 13, 1, 
2022/12/12, 55, 26, 11, 21, 1, 
2022/12/13, 55, 11, 21, 11, , 
2022/12/14, 36, 14, 12, 6, , 
2022/12/15, 28, 21, 21, 9, 1, 
2022/12/16, 46, 22, 20, 9, 3, 
2022/12/17, 45, 19, 17, 8, 2, 
2022/12/18, 41, 13, 18, 4, , 
2022/12/19, 27, 16, 9, 12, , 
2022/12/20, 35, 10, 18, 10, , 
2022/12/21, 28, 7, 16, 4, , 
2022/12/22, 24, 10, 10, 5, , 
2022/12/23, 30, 17, 16, 8, 2, 
2022/12/24, 36, 17, 18, 8, 1, 
2022/12/25, 33, 18, 2, 5, 1, 
2022/12/26, 51, 13, 18, 7, , 
2022/12/27, 29, 18, 23, 10, , 
2022/12/28, 42, 12, 23, 8, , 
2022/12/29, 32, 12, 20, 5, , 
2022/12/30, 35, 6, 17, 7, , 
2022/12/31, 23, 14, 28, 11, , 
2023/1/1, 52, 27, 30, 7, 1, 
2023/1/2, 60, 23, 23, 12, 1, 
2022/7/2, 55, 43, 19, 19, 1, 
2022/7/3, 82, 50, 25, 28, 2, 
2022/7/4, 90, 38, 28, 16, 4, 
2022/7/5, 75, 43, 22, 27, 3, 
2022/7/6, 78, 54, 22, 35, 2, 
2022/7/7, 81, 47, 12, 32, 1, 
2022/7/8, 73, 38, 26, 19, 1, 
2022/7/9, 66, 20, 24, 7, , 
2022/7/10, 37, 35, 19, 20, 1, 
2022/7/11, 64, 45, 19, 23, 1, 
2022/7/12, 57, 31, 24, 11, , 
2022/7/13, 55, 14, 16, 12, , 
