date, pm25, pm10, o3, no2, so2, co
2023/2/4, 53, 15, , 16, , 
2023/2/5, 32, 13, , 13, , 
2023/2/6, 33, 25, , 25, 1, 8
2023/2/7, 62, 24, , 25, , 7
2023/2/8, 62, 21, , 15, , 4
2023/2/9, 52, 24, , 24, , 5
2023/2/10, 59, 23, , 25, , 6
2023/2/11, 60, 19, , 23, , 7
2023/2/12, 52, 11, , 16, , 5
2023/2/13, 30, 23, , 25, 1, 7
2023/2/14, 57, , , , , 
2023/1/3, 45, 16, , 24, , 7
2023/1/4, 50, 19, , 20, , 5
2023/1/5, 48, 3, , 8, , 3
2023/1/6, 18, 12, , 8, , 2
2023/1/7, 30, 17, , 4, , 1
2023/1/8, 32, 9, , 3, , 1
2023/1/9, 24, 11, , 8, , 2
2023/1/10, 28, 20, , 21, , 7
2023/1/11, 50, 33, , 25, , 9
2023/1/12, 68, 25, , 25, , 6
2023/1/13, 60, 32, , 24, , 8
2023/1/14, 62, 15, , 19, , 6
2023/1/15, 41, 12, , 13, , 5
2023/1/16, 29, 20, , 25, , 7
2023/1/17, 49, 25, , 16, , 4
2023/1/18, 63, 26, , 17, , 
2023/1/19, 62, 26, , 16, , 2
2023/1/20, 61, 26, , 28, , 7
2023/1/21, 62, 24, , 23, , 5
2023/1/22, 49, 19, , , , 5
2023/1/23, 46, 26, , 27, , 8
2023/1/24, 61, 27, , 25, , 5
2023/1/25, 62, 20, , 12, , 3
2023/1/26, 54, 19, , 15, 1, 4
2023/1/27, 48, 25, , 14, , 4
2023/1/28, 52, 21, , 20, , 5
2023/1/29, 52, 15, , 15, , 7
2023/1/30, 40, 22, , 20, , 9
2023/1/31, 57, , , , , 
2022/10/2, 51, 13, , 7, , 2
2022/10/3, 40, 15, , 14, , 2
2022/10/4, 41, 19, , 15, , 3
2022/10/5, 49, 28, , 21, , 4
2022/10/6, 71, 31, , 32, , 7
2022/10/7, 64, 23, , 33, , 6
2022/10/8, 60, 33, , 34, 1, 8
2022/10/9, 69, 31, , 23, 1, 8
2022/10/10, 75, 19, , 22, , 5
2022/10/11, 48, 43, , 36, , 8
2022/10/12, 88, 20, , 12, , 3
2022/10/13, 50, 27, , 27, , 5
2022/10/14, 66, 21, , 16, , 3
2022/10/15, 46, 9, , 7, , 2
2022/10/16, 31, 15, , 6, , 2
2022/10/17, 38, 21, , 15, , 4
2022/10/18, 52, 15, , 15, , 4
2022/10/19, 37, 30, , 33, , 9
2022/10/20, 73, 32, , 26, , 6
2022/10/21, 70, 27, , 39, , 8
2022/10/22, 65, 22, , 13, , 4
2022/10/23, 48, 13, , 5, 1, 1
2022/10/24, 37, 18, , 10, , 2
2022/10/25, 44, 17, , 8, , 2
2022/10/26, 41, 27, , 23, , 4
2022/10/27, 51, 44, , 37, , 6
2022/10/28, 79, 37, , 39, , 7
2022/10/29, 77, 31, , 29, , 6
2022/10/30, 61, 15, , 19, , 5
2022/10/31, 32, 19, , 25, , 6
2022/11/1, 48, 6, , 4, , 1
2022/11/2, 19, 4, , 4, , 1
2022/11/3, 18, 10, , 6, , 1
2022/11/4, 24, 14, , 10, , 2
2022/11/5, 31, 9, , 5, , 1
2022/11/6, 29, 8, , 3, , 1
2022/11/7, 22, 11, , 9, , 1
2022/11/8, 24, 21, , 18, , 2
2022/11/9, 41, 29, , 21, , 3
2022/11/10, 57, 29, , 18, , 4
2022/11/11, 62, 22, , 22, , 4
2022/11/12, 51, 15, , 11, , 3
2022/11/13, 43, 15, , 8, , 3
2022/11/14, 48, 28, , 32, , 8
2022/11/15, 67, 26, , 18, 1, 5
2022/11/16, 54, 20, , 12, 1, 2
2022/11/17, 46, 20, , 12, 1, 2
2022/11/18, 38, 18, , 8, , 2
2022/11/19, 38, 19, , 9, , 2
2022/11/20, 39, 19, , 10, , 2
2022/11/21, 47, 30, , 26, , 5
2022/11/22, 71, 30, , 33, , 7
2022/11/23, 67, 32, , 36, , 7
2022/11/24, 71, 13, , 13, , 3
2022/11/25, 35, 11, , 11, , 2
2022/11/26, 28, 12, , 10, , 2
2022/11/27, 34, 11, , 8, , 2
2022/11/28, 31, 15, , 19, , 4
2022/11/29, 39, 17, , 20, , 4
2022/11/30, 44, 25, , 29, , 6
2022/12/1, 56, 25, , 36, , 7
